Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Confirmed last week,1 week change,1 week % increase,WHO Region
Morocco,20887.0,316.0,16553.0,4018.0,609.0,3.0,115,1.51,79.25,1.91,17562,3325,18.93,Eastern Mediterranean
Mozambique,1701.0,11.0,0.0,,32.0,0.0,0,0.65,0.0,inf,1507,194,12.87,Africa
Namibia,1843.0,8.0,101.0,1734.0,,,26,0.43,,7.92,1344,499,37.13,Africa
Nepal,,48.0,13754.0,,139.0,3.0,626,0.26,73.35,0.35,17844,908,5.09,South-East Asia
Netherlands,53413.0,6160.0,189.0,47064.0,419.0,,0,,0.35,3259.26,52132,1281,2.46,Europe
New Zealand,1557.0,22.0,1514.0,21.0,1.0,,1,1.41,97.24,1.45,1555,2,0.13,Western Pacific
Nicaragua,3439.0,108.0,2492.0,839.0,0.0,,0,3.14,72.46,4.33,3147,292,9.28,Americas
Niger,,69.0,1027.0,,0.0,0.0,0,6.1,90.72,6.72,1105,27,2.44,Africa
Nigeria,41180.0,,18203.0,22117.0,648.0,2.0,829,2.09,44.2,4.72,37225,3955,10.62,Africa
North Macedonia,10213.0,466.0,5564.0,4183.0,127.0,6.0,137,4.56,54.48,8.38,9249,964,10.42,
Norway,9132.0,255.0,8752.0,125.0,,0.0,0,2.79,95.84,2.91,9034,98,1.08,Europe
Oman,77058.0,393.0,57028.0,19637.0,1053.0,9.0,1729,0.51,,0.69,68400,8658,12.66,
Pakistan,274289.0,5842.0,241026.0,,1176.0,20.0,3592,2.13,87.87,2.42,266096,8193,3.08,Eastern Mediterranean
Panama,61442.0,1322.0,35086.0,25034.0,1146.0,28.0,955,2.15,57.1,3.77,54426,7016,12.89,
Papua New Guinea,62.0,0.0,,51.0,0.0,0.0,0,0.0,17.74,0.0,19,43,226.32,Western Pacific
Paraguay,4548.0,,2905.0,1600.0,104.0,2.0,111,0.95,,1.48,3748,800,21.34,Americas
Peru,,,,98752.0,13756.0,575.0,4697,4.73,69.93,6.76,357681,32036,8.96,Americas
Philippines,82040.0,,26446.0,53649.0,1592.0,13.0,336,2.37,32.24,7.35,68898,13142,19.07,Western Pacific
Poland,43402.0,,32856.0,8870.0,337.0,5.0,103,3.86,75.7,5.1,40383,3019,7.48,Europe
Portugal,50299.0,1719.0,,13205.0,135.0,2.0,158,3.42,70.33,4.86,48771,1528,3.13,Europe
Qatar,109597.0,165.0,106328.0,3104.0,292.0,0.0,304,0.15,97.02,0.16,107037,2560,2.39,Eastern Mediterranean
Romania,,2206.0,25794.0,17902.0,1104.0,19.0,151,4.81,56.19,8.55,38139,7763,20.35,Europe
Russia,816680.0,13334.0,602249.0,201097.0,5607.0,85.0,3077,1.63,73.74,2.21,776212,40468,5.21,Europe
Rwanda,1879.0,,975.0,899.0,58.0,0.0,57,0.27,51.89,0.51,1629,250,15.35,Africa
Saint Kitts and Nevis,17.0,0.0,15.0,2.0,,0.0,0,0.0,88.24,0.0,17,0,0.0,Americas
Saint Lucia,24.0,0.0,22.0,2.0,0.0,0.0,0,0.0,91.67,0.0,23,1,4.35,Americas
Saint Vincent and the Grenadines,52.0,0.0,39.0,13.0,0.0,0.0,0,0.0,,0.0,50,2,4.0,Americas
San Marino,699.0,42.0,657.0,0.0,0.0,,0,6.01,93.99,6.39,699,0,0.0,Europe
Sao Tome and Principe,865.0,14.0,734.0,117.0,2.0,,38,1.62,84.86,1.91,746,119,15.95,Africa
Saudi Arabia,268934.0,,222936.0,43238.0,1993.0,27.0,2613,1.03,82.9,1.24,253349,15585,6.15,
Senegal,9764.0,194.0,6477.0,,83.0,3.0,68,1.99,66.34,3.0,8948,816,9.12,Africa
Serbia,24141.0,543.0,0.0,23598.0,411.0,,0,2.25,0.0,inf,21253,2888,13.59,Europe
Seychelles,114.0,0.0,39.0,,0.0,0.0,0,0.0,34.21,0.0,108,6,5.56,Africa
Sierra Leone,1783.0,66.0,1317.0,400.0,0.0,0.0,4,3.7,73.86,5.01,1711,72,4.21,Africa
Singapore,50838.0,27.0,45692.0,5119.0,469.0,0.0,171,0.05,89.88,0.06,48035,2803,5.84,Western Pacific
Slovakia,2181.0,28.0,1616.0,537.0,2.0,0.0,39,1.28,74.09,1.73,1980,201,10.15,
Slovenia,,116.0,1733.0,238.0,,0.0,55,5.56,83.04,6.69,1953,134,6.86,Europe
Somalia,3196.0,93.0,1543.0,1560.0,18.0,0.0,22,2.91,48.28,6.03,3130,66,2.11,Eastern Mediterranean
South Africa,452529.0,7067.0,274925.0,170537.0,7096.0,298.0,9848,1.56,60.75,2.57,373628,78901,21.12,Africa
South Korea,14203.0,,13007.0,896.0,28.0,1.0,102,,91.58,2.31,13816,387,2.8,Western Pacific
South Sudan,,,1175.0,,43.0,1.0,0,2.0,,3.91,2211,94,4.25,Africa
Spain,272421.0,,,,0.0,0.0,0,10.44,55.2,18.91,264836,7585,2.86,Europe
Sri Lanka,2805.0,11.0,2121.0,673.0,23.0,0.0,15,0.39,75.61,0.52,2730,75,2.75,South-East Asia
Sudan,,720.0,5939.0,4765.0,39.0,3.0,49,6.3,51.99,12.12,10992,432,3.93,Eastern Mediterranean
Suriname,1483.0,24.0,925.0,,44.0,1.0,35,1.62,62.37,2.59,1079,404,37.44,Americas
Sweden,79395.0,5700.0,0.0,73695.0,398.0,,0,7.18,0.0,inf,78048,1347,1.73,
Switzerland,34477.0,1978.0,30900.0,1599.0,65.0,1.0,200,5.74,89.62,6.4,33634,843,2.51,Europe
Syria,,40.0,,634.0,24.0,,0,5.93,0.0,inf,522,152,29.12,Eastern Mediterranean
Taiwan*,462.0,7.0,440.0,15.0,4.0,0.0,0,1.52,95.24,1.59,451,11,2.44,Western Pacific
Tajikistan,7235.0,60.0,,1147.0,43.0,1.0,58,0.83,,1.0,6921,314,4.54,
Tanzania,509.0,21.0,183.0,305.0,0.0,0.0,0,4.13,35.95,11.48,509,0,0.0,Africa
Thailand,3297.0,58.0,3111.0,128.0,6.0,0.0,2,1.76,94.36,1.86,3250,47,1.45,South-East Asia
Timor-Leste,24.0,0.0,0.0,24.0,0.0,0.0,0,0.0,,0.0,24,0,0.0,South-East Asia
Togo,874.0,18.0,607.0,,,0.0,8,2.06,69.45,2.97,783,91,11.62,Africa
Trinidad and Tobago,148.0,8.0,128.0,12.0,,0.0,0,5.41,,6.25,137,11,8.03,Americas
Tunisia,1455.0,50.0,,248.0,3.0,0.0,15,3.44,79.52,4.32,1381,74,5.36,Eastern Mediterranean
Turkey,227019.0,5630.0,,10920.0,919.0,17.0,982,2.48,92.71,2.67,220572,6447,2.92,
US,4290259.0,148011.0,1325804.0,2816444.0,56336.0,1076.0,27941,3.45,30.9,11.16,3834677,455582,11.88,
Uganda,1128.0,2.0,986.0,,13.0,0.0,4,0.18,,0.2,1069,59,5.52,
Ukraine,67096.0,1636.0,37202.0,28258.0,835.0,11.0,317,2.44,,4.4,60767,6329,10.42,Europe
United Arab Emirates,59177.0,345.0,52510.0,6322.0,264.0,1.0,328,0.58,88.73,0.66,57193,1984,3.47,Eastern Mediterranean
United Kingdom,301708.0,45844.0,1437.0,254427.0,688.0,7.0,3,15.19,0.48,3190.26,296944,4764,1.6,Europe
Uruguay,1202.0,,951.0,216.0,10.0,1.0,3,2.91,,3.68,1064,138,12.97,Americas
Uzbekistan,21209.0,121.0,11674.0,9414.0,,5.0,569,0.57,55.04,1.04,17149,4060,23.67,Europe
Venezuela,15988.0,146.0,9959.0,,525.0,4.0,213,0.91,62.29,1.47,12334,3654,29.63,Americas
Vietnam,431.0,0.0,365.0,66.0,11.0,,0,0.0,84.69,0.0,384,47,12.24,Western Pacific
West Bank and Gaza,10621.0,78.0,3752.0,6791.0,152.0,2.0,0,0.73,,2.08,8916,1705,19.12,Eastern Mediterranean
Western Sahara,10.0,1.0,8.0,1.0,0.0,0.0,0,10.0,80.0,12.5,10,0,0.0,Africa
Yemen,,483.0,833.0,375.0,10.0,,36,,49.26,57.98,1619,72,4.45,Eastern Mediterranean
Zambia,4552.0,,2815.0,1597.0,71.0,1.0,465,3.08,61.84,4.97,3326,1226,36.86,Africa
Zimbabwe,2704.0,36.0,,,192.0,,24,,20.04,6.64,1713,991,57.85,Africa
